Came here as happy hour was ending to just grab a few drinks. We ended up getting a spinach and artichoke dip which was really good. It was a bit pricey but...,"It's true what Chris G. (other review) said and how great Public House is.  During the midst of covid, they have a real party going on somehow.  I felt the...",13Y2x5Yzui2Df8Sg9ktHYQ
"Ershad and York are a very professional and personable photography team. They came to our dance competition and took some beautiful shots of the dancing,...","After reviewing Ershad's portfolio, I asked him to do a virtual tour of my home.  He was professional and it was obvious he is passionate about his craft....",oS2RFxXIgVkQJUUet6G4ag
I finally made it to this hyped up restaurant.  This hyped up steakhouse is also a celebrity spot. It is a great spot for group dining.  There are a lot of...,"Came here for a date night and it did not disappoint! Great service, which I find harder to come by during Covid, and absolutely fantastic food. Everything...",qpkFmGyvbZv-g2fbwyNQUg
Went to see Harry Potter and the Cursed Child. Saw both parts on a Sunday. There was a short wait to get in for the first part. We arrived when their...,"Harry Potter: 5 Stars!!!
Lyric Theatre: 2 Stars (Big Boo to you!)

This review is mostly for Harry Potter but i am knocking off a star because this theatre...",CS75s6VoV3EqkdF7GY-flA
"I placed an order for pick-up through their website. They're listed on some of the major ordering platforms too, but their website has lower prices and more...",Came here on the resurrection night of indoor dining in NYC... thank you Uncle Cuomo! Have been here multiple times before but post COVID is a new...,NVp1S29NLR573Lc4ZvICKw
"Our Brooklyn-based design studio, Isometric, worked with Canal Sound & Light for a comprehensive lighting, projection, and sound scope for a temporary...","Audio equipment, security systems, custom event setups and more! Jeff and his team can do it all. The team at Canal Sound & Light are professional, thorough...",dIlZekiLaIQHrYl0vB019A
"Fantastic 4 day stay ! I had to
Make a short trip to NYC to drop
My daughter at college for the first time .

The hotel is right on Central Park and close...","Yet another exquisite get away at the historic Essex House at the Southern edge of Central Park. Come for the service and elegance, but stay an extra night...",GRS6gTiibeRShmEt_Qn_4g
,,-dvGgrSSSMfOrN-2P2rqew
"I went here again on January 2, 2019 with my Online Bible Study Friend and her family. Seeing this Wonderful Play twice was so Amazing and it was fun...","What a performance! It was absolutely amazing being able to watch my first broadway show with my husband on our birthday weekend. 
It was such a great show,...",sdQyublskHudWXqxVEBIXw
"i shot at the Double 6 Studio on today  and I couldn't be happier.  Asi and his wife Sharon are amazing and accomodating.  great hosts,  i used the space...","I was working on a feature film that was shooting exteriors in the area, and we were looking for a space that was comfortable, nice & clean for our three...",gMEvRK0fzvx7_yklUkZU8Q
"The owner is super chilled & cool. The place itself is clean always and the sound is great. GREAT price for the size of the studio, considering it's in the...",Magic! A wonderful and heartfelt community. So much beauty and depth happening inside of these walls. So much soul. Train here. Study here. Rent space here....,dzzrE3fNzb0FNnQXMleR9w
"I love Ruth's Chris. This was my first visit since Covid. All of the staff were appropriately wearing masks. I did a takeout order, so I can't speak to...","Normally a 5 star review, this visit (late July) was definitely impacted by the pandemic, and having to sit outside on the street (under a tent) vs. in the...",ulKoAGcGOdsXgr0o_l6avA
"Excellent venue for an intimate setting. Saw Rebel In The Soul and was blown away by the performance of the cast. 

Considering the number of theaters in...","The Irish Repertore Theater is a cozy space, where every seat is gonna be fairly good. The orchestra is tiered, so you are elevated and not dealing with...",s1cKUS9r-SW1D_L5Xbj_CQ
"Ramscale Studio is a unique N.Y.C. event location that gives the client the opportunity to bring a vision to life.

This space is bare and ready for a...","What am amazing venue! The space itself is open, airy and unique with huge floor to ceiling windows and different ""levels"" all in one large room that makes...",a6FVoHpm0ny9BQf6B01Jhw
,,n8JM25RagZfNlVDEXvxZJA
"These guys are amazing. From creative talent to flawless execution, these guys offer everything from nose to tail in terms of service. They were really...","I just finished working with Russell, Steven and Andrea on a short film that I wrote, and it couldn't have went any better.  I've been in Production for...",WbcwJ0wTTJ5ASN7zzgW_IQ
We recently celebrated our daughters 4th birthday here and i was so impressed with the service and overall production of the event. Karen was extremely nice...,Great play space. I like that it's smaller- means you can relax more because you can always see your kids. Really cute little storefronts for the kids to...,JqHg0GNhzhnlaeBzJ_9NKg
"To be quite honest, during COVID it's pretty impossible to have an amazing dining experience. Bruno is the exception. I've gone here three times during...","Every visit to Barano has been an absolute treat. The staff are very friendly, knowledgeable and seemingly love what they're doing.

We always order the...",rJfGgBleDYCVq2rkBr_w-Q
"We got lucky with a last minute walk-in takeout order, after 11am on a Sunday day. 
FYI.. they do not answer phones after 11am on Sunday. As you can imagine...",They never pick up their phone but food is always delicious. My favorite is the lamb. I miss doing brunch with them!,CfWe636m2CAUg4FAdl_zVQ
Town Stages is a great venue to host an event. They have multiple large rooms and back of house areas to facilitate any production. We've worked there as a...,This venue is awesome! We had an event here in October and it went really well thanks to the awesome staff at Town Stages. They were super accommodating to...,lpOW2UHAuNlTvzDJXdAhdQ
"I was running in thru the neighborhood and saw the sign Tea House and it got me curious, since the entrance doesn't look like an ordinary cafe, more of a...",First things first - the owner is so so sweet and I just really get great vibes from him. I can imagine this must be a really difficult time with indoor...,kpe8IjU3K7aaV2ObawG3zg
I've dined here during Halloween twice (one time being this year during Covid) and I have had a wonderful experience both times. The performers are amazing...,"Okay, I'm not sure why there had to be low reviews on this place but don't buy into them. First off, this location and new renovated Beetle House NYC is...",6TIkBQs6D8IZ0uwpn7c_Pw
"Love, love, love this show! For me no other show can compare. I wish Broadway the very best wishes with the pandemic. Watching Phantom was a beautiful,...",Came here as a surprise for my kid who absolutely loves the music from Phantom but did not necessarily know the story. Neither did I even though I can...,1_X5o4iv9NjSNtzSWYKsZg
"Honestly a great coronavirus activity. Went for Halloween and had a great time.  They were following proper coronavirus guidelines (distancing in line,...",First and foremost they absolutely do follow CDC protocols. I went on Halloween night and everyone was separated into their groups outside at least six feet...,pt4Bru4Q8UZFUoScDA4UsQ
,,AEUk76ivyFm59p7_JRX4hg
Super accommodating for my production. Very clean space with tools for COVID prevention.,"Deer Studios is currently my go-to for studio productions. I've had 3 full-day shoots there now, and every one has been great. Staff is very...",08Ea8VynjWEfIU_H2kHO4w
A very awesome camera rental business. I always have a very seamless experience picking up and dropping off and the employees are very accommodating and...,The team at Lighthouse is great. I feel like I'm their only client when working with them. Albert is great and very knowledgeable and he has built a solid...,VVpalkHGl3Ta50KGU4snhQ
"Mitsuwa marketplace is a large Japanese super market! Like many of the asian markets, it hosts a variety of different options such as food court with...","Mitsuwa has always been a fun place to go when NYC life gets stressful. I used to take the NJ transit here all the time, and now that sojo spa is close as...",JUPxlDVMxuRSsqMcH6RCVg
Top notch sushi - even during a pandemic. Umi Sushi never disappoints. They have something called the New Mango roll which continues to be the greatest roll...,"Pandemic post: ordered 3 rolls for takeout from here (salmon avocado, spicy tuna and eel avocado), which came out to be a little over $17, with each roll...",4CAJ-JvgbzBdoWq1CXtCFw
"Especially loved the year they had talented actors ""Killers"" portraying the murder scenes in each room.  I really got into the whole story of each killer...","I was invited to come back & was initially a bit hesitant ... Simply because the previous year was not that Great. 
Flash forward to this past wknd I was...",K_s6wVd2klNt_KqHxzGOow
Arnaud is the man! Really came through on a last minute rental and was super responsive and went above and beyond. Threw in an extra cable and clip and...,,uQSvbl_4sBKsSfeA5c51FQ
Sparks is an old school New York steakhouse that deserves to stay in business so please support them! I came here for a birthday celebration and was asked...,"Stepping through those doors felt like I'd traversed a time portal 50 years into the past. 
Not to say that Sparks is dated, but rather presents itself...",IY9NuJdUQHkTjBqZYfFNSQ
"Avocado crab louis salad (4 stars): decent amount of warm crab and avocado, partially assembled table side. The avocado was actually high quality, which was...","What an experience. Now before you decide to come realize that you will be spending big money when you come. No chance you can get off cheap. Honestly, it...",CAXzWJyV2UzYMAImM_YkWA
"Small theater in the East Village.  Beware that there is more than small theater in the are so make sure you have the correct address.

Seats are folding...","What a truly horrible production I just saw at La Mama.

 'Dvorak in America Marionette Theatre' was the most God-awful play I have ever seen.

First, the...",PVEjoT09e6N0kZHHz1RHPA
"Pre-covid review. Delicious steakhouse in the city! Besides having amazing steaks and burgers in town, people tend to overlook their sides and appetizers....",My family visited the Rockefeller Center tree and stopped by Del Frisco's for dinner with an amazing view of the tree. The place is pricy as expected but...,oSAiyZF-xTqdRkwN5KrV_Q
"During my misspent youth I had occasion to dance the night away at Studio 54 a few times. That seems like a lifetime ago now, and the former nightclub has...",What a beautiful place. I took so many photos. I love the decor. There were several bars and plenty of space to sit. The theater seating is very...,wx3wVoO1CZNAj4eUfEFuZg
"Came here for brunch yesterday and had a good time. We had a reservation for 3 and were able to add a person last minute to our table with no issues.

We...","Decided to check this place out. Saw they had a great view of the Hudson and downtown. So came to try it out. First they take your temperature, ask you if...",ooYUO3Pq_qypc1NXFzeLYQ
"Gertrude Steiner loved these studios.

I've been in acting and I've done the New York City thing and Steiner Studios is definitely one of the better places...",This is probably one of the most technologically advance and largest film/tv production studios in the entire state of NY. Location wise it gives a really...,vWjWvJFG64W9Mti7EvmgYQ
"I've only been here for two plays and both times was a pleasant experience. Recently, a friend invited to watch the Unknown Soldier which was a pretty good...","I've been to this theatre so many times but this time, I saw ""if pretty hurts, ugly must be a muhfucka""...a contemporary versions of a West African fable....",0pinPCv7bRQAumhGV20pLw
Came here to see My Fair Lady. Go see the show before it ends on July 7!!! Lincoln Center elevated my favorite classic to a whole another level of awesome....,"I saw My Fair Lady here, and while the play was great, this theater sucks. First of all, our seats were the third row in the front, but on the right side of...",rJuODqB14GdLYnqC_ZkVwA
"My first ever broadway show was at Gershwin theatre and I loved the experience! The theatre was big, beautiful, and the perfect ambience for the show we...","Gershwin Theatre

Home of ""Wicked"" the amazing Broadway play, this is the second time I have seen Wicked here.

First time was in 2012 and we sat 5th row...",Na79g1I-XrvJemh6DNje9g
"UPDATE: Came back during COVID (Sunday, 9/27) and snagged an outdoor reservation on resy. Had yet another wonderful experience, but will note that if you're...","I love Wayan so much even though it is so expensive to order delivery on Caviar, it makes me want to cry. I have honestly considered moving to Nolita just...",npiIhpcWePbVT3JYEcy3zg
I first worked with Almoradie Media LLC in 2007 when Desireena edited a video for me. She is easy to work with and highly skilled--she sat with me and we...,,RsqWEoNAJhvcSvuj1bfOSg
I feel like this is your standard 1920's theater located in (of course) the Theater District of NYC. I appreciated the elaborate architecture and how the...,"Beautiful theater, amazing production of rhe phantom of the opera.
We had so much fun.",CVBLrSjwJzV_t3hijQJvpg
"We planned on ordering take-out because we weren't quite ready to try outdoor dining due to the COVID risks. However, while we were waiting on our food, the...",The Palm always is a reliable pick for a great meal. Great steaks and enormous lobsters.  They have really become a savior during this covid 19 shutdown...,NotkoYDwpzesUKBt8Xuwzw
"Training at the Lee Strasberg Institute has been one of the most incredible experiences of my life. The partnership with NYU is amazing, as the training...",My time at Strasberg reconnected me with myself. The work begins the minute you stop trying to be all the things you wish you were and start embracing all...,VrsEsW7YHVUMTTXZNIDHlA
"I saw my favorite band The Ocean Blue at The Bell House a few months ago before the Pandemic hit! Hopefully, it won't be the last concert this year. 2020...","Every last Saturday of the month there's something called ""The Rub"" at the Bell House. It's a cool party and a good time. You can get tickets online, and i...",sYhOOLd04h7dfaM9q49w9A
i ordered from here thinking it will be good from looking at the pictures and there's no bad reviews i order my food for delivery i am staying 13 mins away...,"This place is an absolute breath of fresh air - some of the best Italian food I've had outside of Italy.

They actually make the authentic Buffalo...",-0vID-pN57SqpaYlmNYzXg
I've been to BC Green Screen studio a few times over the last year to film promotional videos for my company and we've had a great experience each time....,I love shooting at BC Studio! It is a great space and the owners Bill and Carol are very nice and welcoming. There is always something new to learn from...,FShOGp-3frOcnTAp7rPXbw
"Looking for a unique night out? Get tickets to The Moth instantly. No really, they run out in five minutes, get on that. 

The Moth is a storytellers event...","The Moth is incredible. 

Here is the deal: the event happens at a different bar each time and each night has a different theme like say hope or danger....",JWZHfM0pH3EYxx1BF2kUnQ
"Nightmare NYC was so lame last year but this year -- 2012 / KILLERS -- it was AWESOME!!!!!!!!!!! 

Great sets, fantastic actors!  All of them -- but a...","I can't think of enough negative things to say about Nightmare: Fairy Tales.

The organization of the line could not have been worse.
With the exception of...",hFG0RnWZNDA5-ndX7Hwnqg
COVID report: Marea's courtyard is partially heated (standing heat lamps) and has umbrellas. We kept our coats on since it was a pretty cold night. I didn't...,"My last time at Marea was November 2019, just a few short months before the pandemic would start. We thought about visiting when indoor dining was still...",H_KyiRhwho8rdlw_R93_0Q
Nicole made our wedding day even more special with an awesome selection of music and her great energy. We cannot be anymore happier with our choice of...,,sAf0nCWNdAdgxDl-meaAGQ
"I am giving 5 stars for the restaurant's efforts to keep covid precautions in mind, on top of excellent food and service.

As soon as you walk in and ask...","Im so happy to have picked this spot for Thanksgiving day! Extremely impressed. 

The warm baguette with block butter was so good I think I dipped the...",s3jou_L_LVYGkNHiuhjlew
"My partner and I chose this cozy spot as a casual anniversary dinner (pre-pandemic) The food was pricy and the portions were small, but it wasn't anything...","The ambiance,the people who work there, the music, the beautiful plants and greenery and the cute store and most importantly the FOOD! Best brunch in the...",BglFB3mkuo_PVtxdok4v3A
Highly recommended! Shirley was super responsive and helpful in decorating our wedding. Everything looked beautifully decorated and picturesque. She and her...,"I used Jelo Paper & Decor to decorate my Nautical Wedding Theme at the Morris Yacht Beach Club in City Island,NY. Their services were amazing.  Working with...",v5GrKraBqS6TMDyus74cxQ
"Charming, cozy, and small; the WiFi works super well. Sorry Cindy!

Thank you Ad Hoc!","Ad Hoc is small and slightly hidden (you have to go down a few steps below street level to find the entrance), but it's got a really cool and cozy vibe...",XR-ukhC5BvAKDq1oTQrQ9A
"We had a lovely experience and I completely forgot to leave a review.
My husband and I came here as King and Queen and wouldn't have it any other way. The...",I went to three comedy shows on my last trip to NYC and this was my second favorite on acting but third favorite on topics and laugh-ability. The staff was...,FeBktm4xEr1cB94fY4jCYg
"Loved our experience with Baby Bodyguards for both help with our carseat and help with a CPR lesson. 

They are so patient, answer all questions and these...",Absolutely fantastic service and value. My wife and I scheduled an in-person car seat installation with Baby Bodyguards. Courtney helped us figure out...,RN4dOq_OiViRlqgm2fvHfQ
